merchant_id,category_name,category_name_new
9723,MALE > Hemden > Bedruckte Hemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
9723,MALE > Jeans > Gerader Schnitt,Bekleidung > Herren > Hosen > Jeans,
9723,MALE > Jeans > Leichte Karottenform,Bekleidung > Herren > Hosen > Jeans,
9723,MALE > Jeans > Superenge Jeans,Bekleidung > Herren > Hosen > Jeans,
9723,MALE > Polohemden,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > Sale > Accessoires,Accessoires > Herren,
9723,MALE > Sale > Hemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
9723,MALE > Sale > Jacken & Mäntel,Bekleidung > Damen > Jacken & Mäntel,
9723,MALE > Sale > Jeans,Bekleidung > Herren > Hosen > Jeans,
9723,MALE > Sale > Langärmlige Shirts,Bekleidung > Herren > Pullover & Strickjacken > Pullover,
9723,MALE > Sale > Polohemden,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > Sale > Shorts,Bekleidung > Herren > Hosen > Shorts,
9723,MALE > Sale > T-Shirts & Trägershirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > Schuhe, Stiefel & Sneaker > Bootsschuhe,Schuhe > Herren > Sneaker
9723,MALE > Shorts,Bekleidung > Herren > Hosen > Shorts,
9723,MALE > T-Shirts & Trägershirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > T-Shirts & Trägershirts > Drucken,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > T-Shirts & Trägershirts > Gestreifte T-Shirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > T-Shirts & Trägershirts > Langärmlige Shirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,MALE > T-Shirts & Trägershirts > Unifarben,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
9723,Schuhe,Schuhe > Damen,
9723,Basic > Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
9723,Basic > Kleider,Bekleidung > Damen > Kleider,
9723,Basic > Röcke,Bekleidung > Damen > Röcke,
9723,Basic > T-Shirts - Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,New > Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
9723,New > Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,New > Kleider,Bekleidung > Damen > Kleider,
9723,New > Röcke,Bekleidung > Damen > Röcke,
9723,New > Tücher - Schals,Accessoires > Damen > Schals/Tücher > Schals,
9723,New > Taschen,Accessoires > Damen > Taschen,
9723,Sale > Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
9723,Sale > Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,Sale > Kleider,Bekleidung > Damen > Kleider,
9723,Sale > Röcke,Bekleidung > Damen > Röcke,
9723,Sale > Tücher - Schals,Accessoires > Damen > Schals/Tücher > Schals,
9723,Trends > Trendnews Thema 1,Bekleidung > Damen,
9723,Trends > Trendnews Thema 2,Bekleidung > Damen,
9723,Trends > Trendnews Thema 3,Bekleidung > Damen,
9723,Trends > Trendnews Thema 4,Bekleidung > Damen,
9723,Trends > Trendnews Thema 5,Bekleidung > Damen,
9723,Women > Accessoires,Accessoires > Damen,
9723,Women > Kleider,Bekleidung > Damen > Kleider,
9723,Women > Röcke,Bekleidung > Damen > Röcke,
9723,Women > Tücher - Schals,Accessoires > Damen > Schals/Tücher,
9723,Women > Taschen,Accessoires > Damen > Taschen,
9723,Accessoires > Mützen,Accessoires > Damen > Hüte/Mützen > Mützen,
9723,Bekleidung > Blazer > Klassische Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
9723,Bekleidung > Blusen & Tuniken > Kurzarmblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,Bekleidung > Blusen & Tuniken > Langarmblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,Bekleidung > Blusen & Tuniken > Tuniken,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,Bekleidung > Hemden > Langarmhemden,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
